id,handle,created_at,text,cleaned_text
1141553866938261505,DoodleSpooks,2019-06-20 03:50:25,"RT @BirdKeeperToby: The Galar region, new Pokemon, Dreadnaw, Wooloo, Grookey! New Gymleaders, Dynamax Pokemon, new legends and mysteries wa…",galar region new pokemon dreadnaw wooloo grookey new gymleaders dynamax pokemon new legends mysteries wa
1141552242912309248,EZDBud,2019-06-20 03:43:58,@JammerHighwind We needed more wooloo in our lives. ^^,needed wooloo lives
1141551914066333696,Jay_Jitters,2019-06-20 03:42:39,RT @Xephia: A wooloo cloud ☁️🌱 https://t.co/WSmflXUuz2,wooloo cloud
1141551873297649669,toboldlylaura,2019-06-20 03:42:30,"Friend: I can’t sleep :(
Me: want to count sheep?
Me: proceeds to spam them with 20 pics of Wooloo the sheep Pokémon",friend cant sleep want count sheepme proceeds spam pics wooloo sheep pokmon
1141551868163829760,Jay_Jitters,2019-06-20 03:42:29,RT @Phoelion: Woohoo! It’s Wooloo!! 💖 https://t.co/GPuTuhJ4zS,woohoo wooloo
1141551851235467266,PlanetScrapstar,2019-06-20 03:42:24,"RT @fruitypeeebles: I wanted to practice using my acryla gouache paint, but also do a landscape study. So I had the idea to reference a cla…",wanted practice using acryla gouache paint also landscape study idea reference cla
1141551810047557633,maimedbunny,2019-06-20 03:42:15,RT @cysketch: 5 min wooloo https://t.co/A0GuoDmqE0,min wooloo
1141551726220259328,hipsterfont,2019-06-20 03:41:55,RT @confusedophan: I made some Wooloo #Pride icons! feel free to use them. sharing appreciated 💫 https://t.co/qkyrpIXSHK,made wooloo pride icons feel free use sharing appreciated
1141551541553442817,MACKABNORMAL,2019-06-20 03:41:11,RT @lovebeamAV: Wooloo stickers are here! Come get these sheep in my shop 🐏💜https://t.co/7DJrlhbcBB https://t.co/jcBi1wEtFv,wooloo stickers come get sheep shop
1141551390818492416,Amara4k,2019-06-20 03:40:35,"RT @ohhhhhhgumdrop: Forget about making catgirls real, when is wooloo going to live in my house?",forget making catgirls real wooloo going live house
1141551006125297664,RenKasaiKitsune,2019-06-20 03:39:03,RT @thetigerinspace: Iron Artist flats for @Popalopolis !! I bet Wooloo are good for squeezin 🐑💕 https://t.co/TSDXgxWi1H,iron aist flats bet wooloo good squeezin
1141550849329520640,KruxicCat,2019-06-20 03:38:26,"I'm late to the Wooloo bandwagon. I had finished it a while ago, but I got the colors wrong on the hair and didn't… https://t.co/4IFNUF9cJ0",im late wooloo bandwagon finished ago got colors wrong hair didnt
1141550362970791936,AgentZura,2019-06-20 03:36:30,"@UndercoverCatto That’s good enough lmao

Could’ve stopped at Wooloo",thats good enough lmaocouldve stopped wooloo
1141550240643731456,UndercoverCatto,2019-06-20 03:36:01,@AgentZura Wooloo. Corviknight. The corgi. That's all I got.,wooloo corviknight corgi thats got
1141550188617748481,WhoDatUmbra,2019-06-20 03:35:48,"RT @clivenzu: 🌼 Wooloo sticker giveaway 🌼
4 random winners will receive these Wooloo stickers✨

🌻To enter all you have to do is Follow + RT…",wooloo sticker giveaway random winners receive wooloo stickersto enter follow
