term,frequency
wooloo,146.32320433109015
outfits,94.38651378836661
sheep,52.12819939863765
girl,51.715750984949004
want,48.59028430016945
make,47.672071344964024
gossifleur,47.63040047327491
fun,47.493685205285196
coordinate,47.37309495466766
amp,29.433753821768278
weaver,26.953111363668842
love,23.618496988354455
pokemonswordshield,22.54457852372783
min,22.42968281270362
pokemon,21.305356027287264
much,19.962648121292435
cheering,19.518952237881788
youpokemonswordshield,18.838603721159274
still,17.266082405868296
new,12.650741386796192
woohoo,11.95870708003622
since,11.67153933153255
doodled,11.65313316007153
name,11.609686575027666
liked,11.394472435167708
toffee,11.394472435167708
know,11.284730899688933
breeds,10.517086436335841
sticker,10.510535484533428
enter,10.30140059660649
like,10.293745945819117
follow,10.248786702672348
stickersto,10.146138910782758
receive,10.146138910782758
winners,10.146138910782758
random,10.146138910782758
giveaway,10.146138910782758
pokemonswordandshield,9.941716006006128
cloud,8.867945736772844
gijinkas,8.668677292687322
im,8.601140906486426
corviknight,8.123507629146657
precious,7.709264010795599
yamper,7.031691558774819
drawn,6.939690455014991
trainers,6.461232237856929
impidimp,6.375595132227564
cute,6.354547642806511
cutie,5.937661823900679
rolling,5.882226347544895
motivation,5.8772235374653565
sword,5.739448194551304
hows,5.69807231204587
monday,5.69807231204587
sleepy,5.4796687139598115
get,5.360480506399867
kids,5.3487891594796375
wooloos,5.228594599562343
happy,5.024375807732328
little,4.993244703745372
pokemondirect,4.850883072100296
timeline,4.830175655181189
bless,4.830175655181189
roll,4.810494197141629
drew,4.747800964670514
heres,4.702749252159931
draw,4.670753447831467
go,4.662126906221587
choild,4.624724221796969
shield,4.517221043319368
would,4.446043968418024
free,4.40756584104644
breed,4.395035678508265
give,4.383348984093157
head,4.3581324772513454
doodle,4.283477825237515
sleeping,4.208671139335677
ofcat,4.208671139335677
bringbacknationaldex,4.184958994524731
wooloogang,4.157654103005611
got,4.1199088299874616
games,4.113058810177538
different,4.015452363494444
favourite,4.015452363494444
lohi,4.015452363494444
personally,4.015452363494444
year,3.9102151377933607
thousand,3.9102151377933607
mario,3.9102151377933607
upcoming,3.9102151377933607
babby,3.9102151377933607
paper,3.9102151377933607
decided,3.8731966669897355
good,3.833855221333258
dont,3.8303237986139242
also,3.815951893080052
tiny,3.764167270487409
really,3.6958360124945266
door,3.655610744097907
styl,3.655610744097907
us,3.6086734709138493
stop,3.5049420246267204
galar,3.4955472118833866
mareep,3.4497323775765554
thanks,3.4428265471973227
posted,3.4294658080975347
best,3.3455638686125595
sketch,3.3049741821258296
pokmon,3.282859850660117
noisesi,3.2155388808720424
wold,3.2155388808720424
four,3.2155388808720424
hours,3.2155388808720424
earlier,3.2155388808720424
lastminute,3.2155388808720424
redo,3.2155388808720424
lt,3.2124771407710435
fana,3.2046455775145524
soft,3.1599458858951417
plush,3.148263552544531
thing,3.1380477455507596
yall,3.063185041119823
needs,3.035160893749647
marshmallows,2.960169789819605
di,2.9575214513431027
gonna,2.9542939101118817
adorable,2.942666567893611
looks,2.939283410514923
region,2.902869625240397
feel,2.8913270446990467
friend,2.8773199468567565
wait,2.876382296249179
post,2.8751593334628422
power,2.8613400032820255
ago,2.8388563695632354
wanted,2.7825832699063464
one,2.772128635161908
protec,2.762194294778422
drawing,2.747393700247732
late,2.738049994916626
cant,2.7343011172149914
oh,2.7196288054885627
escape,2.714697162322758
need,2.6991334643341505
grookey,2.6987662043956275
mysteries,2.6987662043956275
gymleaders,2.6987662043956275
wa,2.6987662043956275
legends,2.6987662043956275
dynamax,2.6987662043956275
dreadnaw,2.6987662043956275
mind,2.6861990699035267
shop,2.675344642511938
help,2.673877397649263
time,2.6485726955145936
life,2.635036148125169
thinkin,2.6183110654510635
bout,2.6183110654510635
meet,2.600951070795772
bleppokemon,2.596616701908342
cheers,2.5658726918584476
floofpokemonswordshield,2.545025517142604
pure,2.529707347205524
made,2.522961908545055
keep,2.521304799700339
nexus,2.521001227946657
making,2.5085093466906745
use,2.4677245530850365
die,2.467058252546341
photos,2.4519578186901523
lets,2.44047524929271
cheer,2.423393485714499
friends,2.4002574959117413
could,2.394602751046545
everything,2.3791786297346693
first,2.3625068551892348
idea,2.350429715985852
dress,2.347917680409706
summer,2.347917680409706
warm,2.347917680409706
away,2.3442992041105484
rights,2.3428191484226195
twitter,2.314806876043154
drop,2.291708959098416
runwooloo,2.291708959098416
better,2.276149785303611
preorder,2.271958353492951
betterish,2.271958353492951
shipping,2.271958353492951
stacking,2.271958353492951
boi,2.2705182659592413
isnt,2.2640388124947712
think,2.2483880977694493
sure,2.2448000171027545
forgetting,2.2442763006095943
illustration,2.234738928951208
seapancake,2.218614359997425
wlw,2.2123867208003167
color,2.210089496439803
fluffy,2.147460258416653
said,2.1447632884773133
see,2.1281493835641805
keeps,2.107097080995919
rollin,2.107097080995919
lead,2.107097080995919
splatoon,2.107097080995919
gear,2.107097080995919
victory,2.107097080995919
ive,2.078781333512031
pride,2.070907547580911
thought,2.0676864504647887
swordandshield,2.0586497981046685
trans,2.0495004133880412
id,2.0150096085444784
wednesday,2.0124810973657774
everyone,1.9801345492556572
homie,1.9756025361280927
em,1.9756025361280927
ill,1.974582050187428
day,1.9064790079440481
night,1.900741429768696
dot,1.889765120973801
com,1.889765120973801
practice,1.8856927759942066
wooloogamefreak,1.885231614956234
enjoy,1.8567273558277486
sleepywitch,1.8414365296365607
wave,1.8380160389287186
mya,1.8217052087872951
yeah,1.8207005927206108
hey,1.8200621642446915
many,1.8136886166300172
didnt,1.8127590082857368
cause,1.8095750680081544
planet,1.7846258892763087
matters,1.7846258892763087
sounds,1.77031098040173
please,1.7541315341315555
something,1.7535506204393942
corviknightwooloo,1.7493178140134416
weird,1.6936900507321182
enemies,1.677659602905971
simply,1.677659602905971
awaypokemon,1.677659602905971
back,1.6721244466185188
resist,1.665378576174354
angry,1.6645196936217825
couldnt,1.655094762124088
lose,1.6491972480437767
keychain,1.6423904258218176
try,1.640427758885993
thingthen,1.603634157964568
aphobes,1.603634157964568
staing,1.603634157964568
personand,1.603634157964568
swordshield,1.603634157964568
gay,1.5905841918244883
long,1.5876365206352139
jaydude,1.582859735706538
orbpokemon,1.582859735706538
htt,1.5780063615020787
claws,1.5780063615020787
thats,1.5762368616236675
bro,1.5760367220576874
perfect,1.5581936930223765
omg,1.542061323633784
look,1.5358558393018755
zelda,1.534153355514932
pokemonswordandsheild,1.5124375488849773
quick,1.503288792226254
flag,1.4982655651181842
acryla,1.488458937016176
gouache,1.488458937016176
paint,1.488458937016176
landscape,1.488458937016176
study,1.488458937016176
reference,1.488458937016176
using,1.488458937016176
stan,1.472085799601099
ampharos,1.4652318873267334
contribution,1.464395707269466
actually,1.4616236209228934
plz,1.4573919938152657
used,1.4509774635961992
favorite,1.4480901358686433
hoenn,1.4382333760459507
hype,1.435773798513275
today,1.4353789141254476
take,1.433174439098253
leon,1.432066054450173
going,1.422986949674972
wooloopokemon,1.4209548200542397
shorn,1.4209548200542397
pokemonwooloo,1.414213562373095
naptimepokemonswordshield,1.414213562373095
wlws,1.4021342998132318
wooloowoos,1.4021342998132318
pridepokemonswordshield,1.4021342998132318
without,1.3913482699204627
else,1.390752791984223
world,1.3890660385145397
baby,1.3847764092684707
shes,1.3830053753184097
tweet,1.3672142419394044
pokemonbringbacknationaldex,1.3658198290146064
result,1.365591748813012
control,1.365591748813012
responsibilities,1.365591748813012
https,1.365591748813012
kin,1.3569547436374902
oomf,1.3569547436374902
woolewd,1.3562882573237476
costest,1.3562882573237476
versus,1.3562882573237476
immediately,1.3430113959408467
gang,1.3424610384013924
well,1.3312872925555328
term,1.3164132669475037
wheelies,1.3164132669475037
feelies,1.3164132669475037
okay,1.3164132669475037
consider,1.3164132669475037
wh,1.312483108155221
needed,1.3067708109120912
god,1.30657890232218
care,1.3049025103647125
taking,1.3049025103647125
rooting,1.2990612070965317
done,1.2973140579843703
house,1.2972996062128215
might,1.28508457909275
guess,1.2846175802561064
owolooi,1.2825279458708139
thispokemonswordandsheild,1.2515436815172025
evolved,1.2515436815172025
evolution,1.2515436815172025
around,1.2489553097011967
aistontwitter,1.2414753033435546
animal,1.2414753033435546
crossing,1.2414753033435546
yes,1.2414753033435546
husk,1.2353887622278026
botw,1.228864466742032
flock,1.228864466742032
tend,1.228864466742032
link,1.228864466742032
tam,1.228864466742032
hope,1.2256791632186252
choose,1.2223371671636034
cla,1.214232131672284
maybe,1.2140787864680687
although,1.209221268774168
shubwooloorathwooloo,1.209221268774168
technically,1.209221268774168
cthwooloo,1.209221268774168
people,1.1984366646576756
toon,1.1920417611680842
stickers,1.191310571582196
anyone,1.1816786800751535
miss,1.1659975429310234
train,1.1659975429310234
online,1.161637093512199
hea,1.1608410876490325
came,1.153458524403518
saying,1.139779618587378
work,1.1317802993127266
working,1.1173536365890084
instant,1.116507079149761
yea,1.1111508815173687
tell,1.1067230999161468
added,1.1067230999161468
lgbt,1.1067230999161468
