id,handle,created_at,text,cleaned_text
1141897329974423552,ju_ferrarini01,2019-06-21 02:35:13,"Arabian Nights performed by Will Smith
A song from @disneyaladdin . #Aladdin #genie #disneyaladdin  

To watch the… https://t.co/UzwJR58uvB",arabian nights performed smitha song aladdin genie disneyaladdin watch
1141876556547051520,CrisseyPau,2019-06-21 01:12:40,"Therapy: Expensive.

Aladdin 2019’s Arabian Nights: Php 300.00.",therapy expensivealaddin arabian nights php
1141824848559316992,lozziemidgley,2019-06-20 21:47:12,The version of the song Arabian Nights from the live action Aladdin seemed to do it for me? Towards the end of the… https://t.co/Gr6GPQFtKA,version song arabian nights live action aladdin seemed towards end
1141820707724247041,DannyWxo,2019-06-20 21:30:45,#Aladdin got me at Arabian Nights. Everything was just so vibrant and colourful. What a fun experience from the ver… https://t.co/NawGXOUDb8,aladdin got arabian nights everything vibrant colourful fun experience ver
1141761384922976257,The_Pauly_V,2019-06-20 17:35:01,"Top three songs from Aladdin:
Prince Ali - Will Smith
Speechless - Naomi Scott
Arabian Nights - Will Smith",top three songs aladdinprince ali smithspeechless naomi scottarabian nights smith
1141725019720077312,Execsub1,2019-06-20 15:10:31,@LaylaHayek I’m doing a Tango performance to Arabian Nights from Aladdin soon,im tango performance arabian nights aladdin soon
1141706542682705927,DownNorth,2019-06-20 13:57:06,@JeffreykBrace Aladdin? For going out on those Arabian Nights?,aladdin going arabian nights
1141700348584845312,ethrealoki,2019-06-20 13:32:29,"one jump ahead is better in the original aladdin but arabian nights is better in the 2019 remake. 

said what i said.",one jump ahead better original aladdin arabian nights better remake said said
1141681617661902848,illusory_dreams,2019-06-20 12:18:03,💙 Aladdin - Arabian Nights [HD] https://t.co/5ZfpZ7rWh1 - @YouTube,aladdin arabian nights hd
1141648856662380544,BathTheatreSch,2019-06-20 10:07:52,A fantastic #Aladdinchallenge today with 2 of our students who attended a masterclass with one of the dancers from… https://t.co/lOnYiSMf2F,fantastic aladdinchallenge today students attended masterclass one dancers
1141568784668536832,lythiumart,2019-06-20 04:49:42,"Aladdin Chocolate Wrappers, INSTANT DOWNLOAD, Candy Bar Labels, Arabian Nights Party https://t.co/pDiAdjTxOC vía @Etsy",aladdin chocolate wrappers instant download candy bar labels arabian nights pay va
1141567440645709825,citrinenjh,2019-06-20 04:44:21,"they brownfaced non arabs to look arab, and just casted entirely WRONG cultures. aladdin is an old folktale started… https://t.co/PIbXAERHi2",brownfaced non arabs look arab casted entirely wrong cultures aladdin old folktale staed
1141547529139441667,0k0a0t0e0,2019-06-20 03:25:14,"Will Smith - Arabian Nights (2019) (From ""Aladdin""/Audio Only) https://t.co/fxVVABV55g - @YouTube",smith arabian nights aladdinaudio
1141502276605042688,L37076095,2019-06-20 00:25:25,Aladdin - Arabian- Nights [HD] https://t.co/HGtS5BhWKA via @YouTube,aladdin arabian nights hd via
1141451500205404161,writtenbyIvana,2019-06-19 21:03:39,"At first I thought yall were trolling PG about his acting debut in Aladdin, but now I see yall were accurate af! 😭😭… https://t.co/hLS54Y9JUd",first thought yall trolling pg acting debut aladdin see yall accurate af
1141351515401195521,birdy_1998,2019-06-19 14:26:21,If they don’t play the new Aladdin soundtrack (specifically Arabian nights) at the Hild Bede Arabian Nights Ball on… https://t.co/Q8mAdikrkT,dont play new aladdin soundtrack specifically arabian nights hild bede arabian nights ball
1141344207467978757,_hahayahya,2019-06-19 13:57:18,"The Aladdin story aside, the songs, specifically Arabian Nights and A Whole New World took me back to the Malam Gal… https://t.co/MVU7zMIYI6",aladdin story aside songs specifically arabian nights whole new world took back malam gal
1141341245480022016,EDCBlockchain,2019-06-19 13:45:32,"🔺Arabian Nights! New EDC Stickers
⠀
▪️EDC project designers have released corporate Telegram sticker pack with EDC… https://t.co/RbGy5G2A1X",arabian nights new edc stickersedc project designers released corporate telegram sticker pack edc
1141336844690440192,nbtscamilahes,2019-06-19 13:28:03,ok but arabian nights was in the new aladdin and yall don’t know how HAPPY that made me,ok arabian nights new aladdin yall dont know happy made
1141297380198776832,sheilakimm,2019-06-19 10:51:14,"❤Arabian nights, Arabian sunsets, Arabian vibes, plus the Quabikes and camels...we've been humming Aladdin soundtra… https://t.co/saV540nPHb",arabian nights arabian sunsets arabian vibes plus quabikes camelsweve humming aladdin soundtra
1141262909105831936,iam_dvyas,2019-06-19 08:34:15,#AladdinMovie fabulous a delight to watch and experience the world of Aladdin and Arabian nights and #WillSmith he… https://t.co/bczfByYJKe,aladdinmovie fabulous delight watch experience world aladdin arabian nights willsmith
1141223490596552704,martinlaroche1,2019-06-19 05:57:37,"Will Smith - Arabian Nights (2019) (From ""Aladdin""/Audio Only) https://t.co/O8M6QwCk1t via @YouTube",smith arabian nights aladdinaudio via
1141172074305789958,venuszambrana,2019-06-19 02:33:19,@RichardsAswad De Aladdin https://t.co/SpffliN6s1,de aladdin
1141153966895632384,deeperfallssun,2019-06-19 01:21:21,@sebastianstanpt Arabian nights from Aladdin,arabian nights aladdin
1141098793703620608,thisrebelheart_,2019-06-18 21:42:07,Arabian nights - Aladdin https://t.co/C6SawRNTuh,arabian nights aladdin
