id,handle,created_at,text,cleaned_text
1141928119537995776,Hajer_Alsalman,2019-06-21 04:37:34,ALADDIN WAS SOSO GOOD🚫🧢  I CRIED FR WOW BUT Y R HALF THE THINGS INDIAN IM A LIL DISAPPOINTED,aladdin soso good cried fr wow r half things indian im lil disappointed
1141928036729622529,akutobtw,2019-06-21 04:37:14,call me Aladdin lmao https://t.co/yVr2HFkc4u,call aladdin lmao
1141927925689794560,whitvibes,2019-06-21 04:36:48,Making Mai’lah get off her tablet to watch Aladdin with me. She so mad 🤣,making mailah get tablet watch aladdin mad
1141927893259321344,aandongers,2019-06-21 04:36:40,"Lasts...

1. adobong chicken
2. burger
3. 8080
4. GS50 TWITTER
5. A.M
6. May 26 — watching Aladdin lol
7. 😴
8.… https://t.co/M9WzVgEuqL",lasts adobong chicken burger gs twitter may watching aladdin lol
1141927674534694912,Arianna68786370,2019-06-21 04:35:48,"@MenaMassoud @NaomiScott  @disneyaladdin @MACcosmetics I got the Aladdin, (#princessjasmin) pallet today and I love… https://t.co/Y8Ty4NJdwJ",got aladdin princessjasmin pallet today love
1141927551054635009,breen_ce,2019-06-21 04:35:18,@RoxAlatorre Aladdin 🙄,aladdin
1141927448616951815,DennyKazuya,2019-06-21 04:34:54,"Denny ALAUDDIN 🧞‍♂️
.
.
.
#love #instagood #photooftheday #tbt #followme #me #follow #selfie #like4like #summer… https://t.co/FbrImuWTPY",denny alauddin love instagood photooftheday tbt followme follow selfie likelike summer
1141927397958324224,mlgjcladios,2019-06-21 04:34:42,@prof_gioo @SpooderSad aladdin confirmed,gioo aladdin confirmed
1141927296347070464,ACRYLICIDOL,2019-06-21 04:34:18,ALSO I CRIED DURING ALADDIN ONE OF THE WHOLE NEW WORLD HARMONIES WAS JUST TOO GOOD,also cried aladdin one whole new world harmonies good
1141927276935884800,murilloprado,2019-06-21 04:34:13,A whole new world! #Aladdin,whole new world aladdin
1141927080801656832,_PaulaMarie,2019-06-21 04:33:26,My mom and I went to see Aladdin tonight and I can say I have a huge crush on both Mena Massoud and Naomi Scott now 😍,mom went see aladdin tonight say huge crush mena massoud naomi scott
1141926771316551681,Jbae0305,2019-06-21 04:32:12,Double feature at the Drive In movies ❤️ Toy Story 4 and Aladdin with @hossthestampede https://t.co/VRrFKznYPO,double feature drive movies toy story aladdin
1141926760164052992,_mack21_,2019-06-21 04:32:10,"THEY. HAVE. A. DISNEY. ALBUM. THEY. ARE. RELEASING. IM SO EXCITED!!!! 🤩 @anthemlights 

Aladdin Medley | Anthem Lig… https://t.co/PXecbrkFoU",disney album releasing im excited aladdin medley anthem lig
1141926612579082241,brugeermano,2019-06-21 04:31:35,"Aladdin, ♥️",aladdin
1141926539748990977,buhhaley,2019-06-21 04:31:17,soo who tryna go and see aladdin and toy story 4 with me,soo tryna go see aladdin toy story
1141926322865725440,lyzaamay,2019-06-21 04:30:25,@emoniii_ did I tell you while watching Aladdin I started crying when they were riding the magic carpet 😂 I hate myself sm,tell watching aladdin staed crying riding magic carpet hate sm
1141926318608662528,EmilianoLozoya,2019-06-21 04:30:24,@satorres98 Aladdin? 🤔,aladdin
1141926234160533505,artbyhannahlee,2019-06-21 04:30:04,"After watching the original Aladdin, the new live action version, and @TeamStarKid's Twisted all in one day, I can… https://t.co/CIMnid1QcP",watching original aladdin new live action version twisted one day
1141926066258423814,David_Heller25,2019-06-21 04:29:24,@heatherw25 @MarkWillard85 I had kids running around during Aladdin imax. Literally that’s 40$ running up and down aisles and not watching,kids running around aladdin imax literally thats running aisles watching
1141926003801055232,LookitsMarah,2019-06-21 04:29:09,Aladdin’s live action really got it spot on from the animation and I LOVEEEEE IT ❤️,aladdins live action really got spot animation loveeeee
1141925892802916357,DarthGuerrilla,2019-06-21 04:28:43,@momotaro_fgc I ain’t ever own Aladdin for the SNES and the Sega version was mad hype,fgc aint ever aladdin snes sega version mad hype
1141925846581567488,erikataray,2019-06-21 04:28:32,"toy story 4, lion king &amp; aladdin live action, etc., in 2019 feels like the early 2000s again my disney heart approves 🥺😥",toy story lion king amp aladdin live action etc feels like early disney hea approves
1141925679203639296,bambino_marito,2019-06-21 04:27:52,@ZaddyBarlow @30_Cheerios Im helllllaaaaa down brooo. Aye we’re gonna go see Aladdin sometime with @victoriavxs but… https://t.co/YTjOZjO8QR,cheerios im helllllaaaaa brooo aye gonna go see aladdin sometime
1141925570193711105,viameesh,2019-06-21 04:27:26,I wanna watch Aladdin again,wanna watch aladdin
1141925403067465729,SharadaK18,2019-06-21 04:26:46,"@Priya9418 @HarshitaGaur12 Even I thought the same when I first watched Aladdin😍😍😍
Wanted to see harshi in princess look😍🥰",even thought first watched aladdinwanted see harshi princess look
1141925332838170626,__lilyea,2019-06-21 04:26:29,Going to go see Aladdin Sunday 😌,going go see aladdin sunday
1141925132325158913,wzayyin,2019-06-21 04:25:42,"@askfess Speechless ost aladdin, berasa fight song gw",speechless ost aladdin berasa fight song gw
1141925117104132096,dj_moco7,2019-06-21 04:25:38,"A Whole New World (End Title) - From ""Aladdin"" - ZAYN
https://t.co/2NHvc5QWZu
#NowPlaying #music #dj",whole new world end title aladdin zaynnowplaying music dj
1141925088557748225,PoRtGuesPoChop,2019-06-21 04:25:31,Loved loved loved Aladdin 💙,loved loved loved aladdin
1141924992432709637,kayylabayy,2019-06-21 04:25:08,Live action Aladdin sucks,live action aladdin sucks
1141924926468657152,malaactituud,2019-06-21 04:24:53,"if u didn’t cry during Jasmine’s scene for Speechless while watching Aladdin, you didn’t get the full experience",u didnt cry jasmines scene speechless watching aladdin didnt get full experience
1141924878527934465,Hakicat,2019-06-21 04:24:41,"When the most powerful empire on earth with over 6,800 nukes is full of morons one can't help but feel uneasy.

Pol… https://t.co/PIvNw8ibaa",powerful empire eah nukes full morons one cant help feel uneasypol
1141924814321438720,HeyHeyESJ,2019-06-21 04:24:26,ALADDIN was memed to death from the first teaser trailer but I have to say... it was good. Not mind-blowing or revo… https://t.co/yWwjVauO2e,aladdin memed death first teaser trailer say good mindblowing revo
1141924692133076997,JoeJohnSr,2019-06-21 04:23:57,"Watching Toy Story 4, also watched Aladdin and I saw Osama Bin Laden at the ending of the movie 🤷🏽‍♂️ wtf is going on 😡",watching toy story also watched aladdin saw osama bin laden ending movie wtf going
1141924619487764482,annackendrick,2019-06-21 04:23:39,so. why is no one takking about how attractive aladdin is https://t.co/BDAe8vJRt9,one takking attractive aladdin
1141924579302092801,icantfeelmetoes,2019-06-21 04:23:30,they should’ve casted me to play Aladdin smh,shouldve casted play aladdin smh
1141924067684962304,aladdin_en,2019-06-21 04:21:28,"Don’t be scared Alibaba-kun, things will work out! This isn’t the stairway to death…But the path to your dreams!",dont scared alibabakun things work isnt stairway deathbut path dreams
1141923954061389825,Masked_Titan,2019-06-21 04:21:01,@creative_a_r_t @NaomiScott @MenaMassoud @disneyaladdin @aladdin @MTVAwards @DisneyStudios @DisneyAnimation… https://t.co/TxLYfsqhMY,art
1141923948596060160,KingDanielKorea,2019-06-21 04:20:59,Seems like SK people enjoy Aladdin,seems like sk people enjoy aladdin
1141923886507970560,emeraldhware,2019-06-21 04:20:45,"aladdin: solid 2.7/10, only redeeming moment was aladdin’s bollywood style slow-mo fall off a cliff",aladdin solid redeeming moment aladdins bollywood style slowmo fall cliff
1141923450115616768,jeweltangi_,2019-06-21 04:19:01,"marco castro as aladdin

now showing in cinemas worldwide! https://t.co/h5ekxiXx49",marco castro aladdinnow showing cinemas worldwide
1141923391458275328,Miyuki_Xueting,2019-06-21 04:18:47,My kind of Aladdin!! 🧞‍♂️ https://t.co/wEexrppLBI,kind aladdin
1141923384734957568,JasmineBenitez1,2019-06-21 04:18:45,I hit Juan cause he really had me thinking we were watching the Aladdin movie &amp; not Toy Story.,hit juan cause really thinking watching aladdin movie amp toy story
1141923310781042689,renteria1010,2019-06-21 04:18:27,"Also, Aladdin is one of my favorite Disney movies 🔮💗 and #AWholeNewWorld is a bop",also aladdin one favorite disney movies awholenewworld bop
1141923290530762752,ETHICALEBEN,2019-06-21 04:18:23,if nobody buys me the aladdin doll i'm going to whip,nobody buys aladdin doll im going whip
1141923177527828480,TeamCjm4545,2019-06-21 04:17:56,@MenaMassoud We are so very happy for you &amp; #Aladdin &amp; Toronto :-),happy amp aladdin amp toronto
1141923126772523008,JustinLHazzard,2019-06-21 04:17:43,"just came back from Aladdin, movie was definitely good! Will Smith did his thing, i give it a solid 8/10! definitel… https://t.co/yzUWgNZ9aS",came back aladdin movie definitely good smith thing give solid definitel
1141922872929267712,C_Villalta88,2019-06-21 04:16:43,My #TeenChoice for #ChoiceSciFiFantasyMovie is #Aladdin  @TeenChoiceFOX https://t.co/NqXKexYqnH,teenchoice choicescififantasymovie aladdin
1141922722110484480,renteria1010,2019-06-21 04:16:07,"I’ve watched the 2019 Aladdin twice now and honestly Will Smith steals that whole movie, he did such a good job 👏",ive watched aladdin twice honestly smith steals whole movie good job
1141922678695067648,relatablechris1,2019-06-21 04:15:57,"gotta be honest ...
@MenaMassoud playing Aladdin is the best thing ever bc people (aka me) no longer have to feel w… https://t.co/ip9B7M8nvi",gotta honest playing aladdin best thing ever bc people aka longer feel w
1141922216776544256,Vanny_Serrano,2019-06-21 04:14:07,i wanna go see Aladdin or Toy Story 4 @ my friends,wanna go see aladdin toy story friends
1141921963419545600,SydneeReese5,2019-06-21 04:13:06,I need someone to see Aladdin with so,need someone see aladdin
1141921617729261568,DNXPeeJay,2019-06-21 04:11:44,Disney can’t put a bad movie out including these remakes! Aladdin was fire. Perfect casting and execution!,disney cant put bad movie including remakes aladdin fire perfect casting execution
