id,handle,created_at,text,cleaned_text
1141913589260988417,Le_Pierrot_,2019-06-21 03:39:50,Speechless from Aladdin is really doing the rounds in my head.,speechless aladdin really rounds head
1141912397080223744,javenuee,2019-06-21 03:35:05,"Naomi Scott - Speechless (Full) (From ""Aladdin""/Official Video)  https://t.co/4XrIoy3CWW",naomi scott speechless full aladdinofficial video
1141909389554704384,karenn_faithh,2019-06-21 03:23:08,Aladdin was so good and speechless is my new favorite song,aladdin good speechless new favorite song
1141909090781859840,alex_kuhns,2019-06-21 03:21:57,The song Speechless from the live action Aladdin is a bop try to change my mind #AladdinMovie,song speechless live action aladdin bop try change mind aladdinmovie
1141902739749920769,sophurzz,2019-06-21 02:56:43,I just tried to sing “speechless” from the new Aladdin and I couldn’t get through it cause suddenly I was sobbing lollll,tried sing speechless new aladdin couldnt get cause suddenly sobbing lollll
1141900764161269760,stoner6211,2019-06-21 02:48:52,"aladdin ana bg 6bintang sbb lagu2 dia best. mcm glee pulak.

Naomi Scott - Speechless (Full) (From ""Aladdin""/Offici… https://t.co/DJSdTvUZyx",aladdin ana bg bintang sbb lagu dia best mcm glee pulaknaomi scott speechless full aladdinoffici
1141897101737115648,elosomagenta,2019-06-21 02:34:19,"Naomi Scott - Speechless (From ""Aladdin""/Official Lyric Video) https://t.co/sgaBu3hHWi vía @YouTube",naomi scott speechless aladdinofficial lyric video va
1141889080847790082,janelstinashe,2019-06-21 02:02:26,ngl...i snap at certain moments when singing speechless from aladdin https://t.co/VNzbreqIsI,ngli snap ceain moments singing speechless aladdin
1141885980347002881,ubumint,2019-06-21 01:50:07,"🐯💕

Naomi Scott - Speechless (Full) (From ""Aladdin""/Official Video) https://t.co/JTlGoG72Hl @YouTubeより",naomi scott speechless full aladdinofficial video
1141885647193595909,velascomymoon,2019-06-21 01:48:48,@iwannacoffeenow A whole new world y speechless dioss amo el live action de Aladdin,whole new world speechless dioss amo el live action de aladdin
1141879223143075840,LittleMiss_Erin,2019-06-21 01:23:16,Was walking out of Animal Kingdom the other day and a little girl was singing Speechless from #Aladdin at the top o… https://t.co/J2aamlktNu,walking animal kingdom day little girl singing speechless aladdin top
1141865609107521536,sallymisaa,2019-06-21 00:29:10,aladdin was trash but jasmine’s speechless song was dope af,aladdin trash jasmines speechless song dope af
1141855518962507776,DuncanDunkins,2019-06-20 23:49:05,"A big shout out to #NaomiScott, For her performance of the song "" Speechless "" from Disney's live action version of… https://t.co/l4Tsks87OQ",big shout naomiscott performance song speechless disneys live action version
1141847073190371330,kathleentquach,2019-06-20 23:15:31,I think I've listened to Speechless from the Aladdin soundtrack 100 times today,think ive listened speechless aladdin soundtrack times today
1141844591827722240,ByAmyLaurens,2019-06-20 23:05:39,"New on Inkfever: Speechless: Your Friday Musical Interlude, Courtesy of Aladdin https://t.co/ulnzHNaH87 #Aladdin #AmyLaurens #encouragement",new inkfever speechless friday musical interlude couesy aladdin aladdin amylaurens encouragement
1141842653413167105,grayeagleswolve,2019-06-20 22:57:57,Speechless (Aladdin) - Naomi Scott Cover | The Hound + The Fox https://t.co/RfEq0a1Zit via @YouTube,speechless aladdin naomi scott cover hound fox via
1141841403795951617,EuphoricJSE,2019-06-20 22:52:59,How can you have speechless from Aladdin and Do you hear the people sing form les misérables going in you’re head a… https://t.co/JO4uPJiFKC,speechless aladdin hear people sing form les misrables going youre head
1141833513718689792,rooroo0991,2019-06-20 22:21:38,"Speechless - Naomi Scott ""Aladdin"" Flute Cover https://t.co/OJH2s9p82A via @YouTube @NaomiScott @disneyaladdin",speechless naomi scott aladdin flute cover via
1141827266567163904,MBear908,2019-06-20 21:56:49,@ashleyippolito so like can you react to speechless by naomi scott? such a powerful song that deserves a grammy. its from aladdin,like react speechless naomi scott powerful song deserves grammy aladdin
1141822536260489218,DannyWxo,2019-06-20 21:38:01,Also Speechless was breathtaking. Jasmine singing about how she wouldn’t be silent while all the men around her dis… https://t.co/lEv2n5zIDA,also speechless breathtaking jasmine singing wouldnt silent men around dis
1141821799027609601,kellysk1,2019-06-20 21:35:05,"Naomi Scott - Speechless (From ""Aladdin""/Official Lyric Video) https://t.co/CQSVOKBO9P via @YouTube",naomi scott speechless aladdinofficial lyric video via
1141815807787380737,Music_HEX,2019-06-20 21:11:17,Lovely Valeria nailing ‘Speechless’ from Aladdin at Awards Evening. Well done! TMR https://t.co/mrKzzHx6RA,lovely valeria nailing speechless aladdin awards evening well done tmr
1141807005360951297,ohhieverybody,2019-06-20 20:36:18,"During my second viewing, during a silent moment with Elton, I can faintly hear ""Speechless"" from Aladdin in the ot… https://t.co/LpLGapAiUi",second viewing silent moment elton faintly hear speechless aladdin ot
1141787239644618752,simplyfourtris4,2019-06-20 19:17:45,Speechless from the new Aladdin is so good.,speechless new aladdin good
1141787099756158978,malejovergara,2019-06-20 19:17:12,"Blame me, pero me encanta Speechless de Naomi Scott (Aladdin 2019)",blame pero encanta speechless de naomi scott aladdin
1141779456991858688,ranuldl,2019-06-20 18:46:50,Speechless - Naomi Scott (Aladdin) ❤👌🏼,speechless naomi scott aladdin
1141776948865245184,KindaCoolGreg,2019-06-20 18:36:52,Watched the new Aladdin last night. Really wasn’t feeling Jasmines speechless song but besides that the movie was dope 🔮,watched new aladdin last night really wasnt feeling jasmines speechless song besides movie dope
1141772143383973890,yellowaddictt,2019-06-20 18:17:46,"@askmenfess I see the light
Beauty and the beast
Speechless (aladdin juga)",see lightbeauty beastspeechless aladdin juga
1141769533918781440,GabyAranda13,2019-06-20 18:07:24,Estoy obsesionada con Speechless de Naomi Scott del Soundtrack de Aladdin😍💕,estoy obsesionada con speechless de naomi scott del soundtrack de aladdin
1141768069989195781,henriyy,2019-06-20 18:01:35,"Naomi Scott - Speechless (From ""Aladdin""/Official Lyric Video) https://t.co/fuoshnNYwC via @YouTube",naomi scott speechless aladdinofficial lyric video via
1141762506928431106,_ikazokaH,2019-06-20 17:39:29,"Speechless-Naomi Scott
(from : Aladdin Original Soundtrack Deluxe Edition)

#NowPlaying https://t.co/gYFfHvgDob",speechlessnaomi scottfrom aladdin original soundtrack deluxe editionnowplaying
1141761384922976257,The_Pauly_V,2019-06-20 17:35:01,"Top three songs from Aladdin:
Prince Ali - Will Smith
Speechless - Naomi Scott
Arabian Nights - Will Smith",top three songs aladdinprince ali smithspeechless naomi scottarabian nights smith
1141760195543986176,MYCEsther,2019-06-20 17:30:18,Picked two songs for my Summer brain exercise. Which one should I finish first? #speechless #bohemianrhapsody… https://t.co/4GE8EMbZwP,picked two songs summer brain exercise one finish first speechless bohemianrhapsody
1141747991524466688,aaron_brunelle,2019-06-20 16:41:48,"@NaomiScott Finally had the chance to see ""Aladdin"" last night with my boyfriend.  Simply amazing!  IN LOVE with th… https://t.co/JodLQiR7Sp",finally chance see aladdin last night boyfriend simply amazing love th
1141744060417228800,Imnazhr_,2019-06-20 16:26:11,"Currently addicted to ""speechless""🎶 by naomi scott, my fav Aladdin ost atm✨",currently addicted speechless naomi scott fav aladdin ost atm
1141744058232000512,yukzell,2019-06-20 16:26:10,@Bayupopoo Now playing: speechless ost. Aladdin,playing speechless ost aladdin
1141735871890112512,tioniasprilia,2019-06-20 15:53:38,Have you heard ‘Speechless (Full) Aladdin OST Cover’ by tioniasprilia on #SoundCloud? #np https://t.co/7iWEhcRBQI,heard speechless full aladdin ost cover tioniasprilia soundcloud np
1141726514725023750,yanagiin_photo,2019-06-20 15:16:28,"Naomi Scott - Speechless (From ""Aladdin""/Official Lyric Video) https://t.co/xiozlFFthI @YouTubeより",naomi scott speechless aladdinofficial lyric video
1141715291065503750,Jasxla,2019-06-20 14:31:52,"Still sad it’s not me who got to play Jasmine in Aladdin live action (jk)🥺Naomi Scott has a beautiful voice wow, I… https://t.co/E2P1eslmdB",still sad got play jasmine aladdin live action jknaomi scott beautiful voice wow
1141711983877775360,YouLauuw,2019-06-20 14:18:43,Speechless from Aladdin is gonna be MY Let It GO,speechless aladdin gonna let go
1141710376028868613,dreena_gallardo,2019-06-20 14:12:20,"@morrechristine At the beggining (Anastasia)
Speechless (Aladdin)
Right Here, Right Now (HSM)
etc...",beggining anastasiaspeechless aladdinright right hsmetc
1141710086668083202,intonancy,2019-06-20 14:11:11,speechless is janes fave soundtrack from aladdin i hope she and ahin can make a cover for AHJE TVVV,speechless janes fave soundtrack aladdin hope ahin make cover ahje tvvv
