id,handle,created_at,text,cleaned_text
1141907764735696896,jakoleroverthnk,2019-06-21 03:16:41,almost too funny to be true: after making out bigla syang nanood ng Aladdin sa phone nya and the next thing I knew… https://t.co/gTWzQ73yjh,almost funny true making bigla syang nanood ng aladdin sa phone nya next thing knew
1141904807722139653,CharlieC0317,2019-06-21 03:04:56,Aladdin - A Whole New World (Mother/Son Duet) https://t.co/eJ3Ofni8HO via @YouTube They sing amazing!!! 😧,aladdin whole new world motherson duet via sing amazing
1141897844997152768,juamarinelli,2019-06-21 02:37:16,"@iwannacoffeenow a whole new world-aladdin
you've got a friend in me- toy story",whole new worldaladdinyouve got friend toy story
1141893052774174722,galaxykino,2019-06-21 02:18:13,also @jacksonslight says its a whole new world by Aladdin and Jasmine which is also an acceptable answer. A bonus point for them.,also says whole new world aladdin jasmine also acceptable answer bonus point
1141892426296152066,jacksonslight,2019-06-21 02:15:44,a whole new world by Aladdin and Jasmine https://t.co/KPBlOsaXjK,whole new world aladdin jasmine
1141890507343388673,Haitienqueen,2019-06-21 02:08:06,Aladdin - A Whole New World (Mother/Son Duet) https://t.co/zTweXMOmdW via @YouTube,aladdin whole new world motherson duet via
1141888369502425089,north10r,2019-06-21 01:59:37,Aladdin - A Whole New World (Mother/Son Duet) https://t.co/1LnFUDrtkY,aladdin whole new world motherson duet
1141888345829728258,north10r,2019-06-21 01:59:31,Aladdin - A Whole New World (Mother/Son Duet) https://t.co/g4d7SFX07L via @YouTube,aladdin whole new world motherson duet via
1141885647193595909,velascomymoon,2019-06-21 01:48:48,@iwannacoffeenow A whole new world y speechless dioss amo el live action de Aladdin,whole new world speechless dioss amo el live action de aladdin
1141883194444152832,fungaa,2019-06-21 01:39:03,Aladdin - A Whole New World (Mother/Son Duet) https://t.co/oQBbPxy6sF via @YouTube @TheEllenShow  gotta have them on your show Ellen,aladdin whole new world motherson duet via gotta show ellen
1141880437553287169,MinnieRae10,2019-06-21 01:28:06,"Wedding Chronicles 
We saw Aladdin last week, now he's obsessed.

Him: Baby, I download the movie so we can watch i… https://t.co/IzQ87EB783",wedding chronicles saw aladdin last week hes obsessedhim baby download movie watch
1141880344276164609,Bellamhd08,2019-06-21 01:27:43,A whole new world 🎼 - Aladdin 10/10 🥳🥳 https://t.co/RR3xlvhJr3,whole new world aladdin
1141876159556177920,m_monline,2019-06-21 01:11:06,A Whole New World snippet by Marielle Montellano. Instrumentals attached. #Aladdin #MarielleMontellano… https://t.co/tY0ZouuaJq,whole new world snippet marielle montellano instrumentals attached aladdin mariellemontellano
1141874680317407232,fuwafuwakanta,2019-06-21 01:05:13,"ZAYN, Zhavia Ward - A Whole New World (Lyrics Video) (From ""Aladdin"") https://t.co/3USokPoR8e @YouTubeより",zayn zhavia ward whole new world lyrics video aladdin
1141873246058381313,emmarie_garcia,2019-06-21 00:59:31,"ZAYN, Zhavia Ward - A Whole New World (End Title) (From ""Aladdin"") https://t.co/r6Eu1keb7J",zayn zhavia ward whole new world end title aladdin
1141872111838998528,speechlessink,2019-06-21 00:55:01,"@iwannacoffeenow a whole new world, aladdin",whole new world aladdin
